playlist_id,playlist_title,video_id
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,XiBWsPf7DMs
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,XBb7ieD5Jwc
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,Mmq6NFHnd_M
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,HshI6j1yTzs
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,jKIXNFNgJtc
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,JyueFEuMI-A
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,vr4qn8xjoUI
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,r2Jj6Rh8NqM
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,E4WStJVWTSM
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,PuZREShczsE
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,7-J4s6eS2Ao
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,aNtXd1Yato0
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,7KMHKx3_6Ak
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,ss-FdFsO384
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,nVdfseu1EIQ
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,sRGrk__euUk
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,F1Heb3ftEEw
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,zwLrtCsu9oQ
